States,Poverty,Infant Mort,White,Crime,Doctors,Traf Deaths,University,Unemployed,Income,Population,Latitude,Longitude,Region
Alabama,15.7,9,71,448,218.2,1.81,22,5,42666,4634063,32.806671,-86.79113,Southeast
Alaska,8.4,6.9,70.6,661,228.5,1.63,27.3,6.7,68460,679893,61.370716,-152.404419,West
Arizona,14.7,6.4,86.5,483,209.7,1.69,25.1,5.5,50958,6360238,33.729759,-111.431221,Southwest
Arkansas,17.3,8.5,80.8,529,203.4,1.96,18.8,5.1,38815,2841595,34.969704,-92.373123,Southeast
California,13.3,5,76.6,523,268.7,1.21,29.6,7.2,61021,36185908,36.116203,-119.681564,West
Colorado,11.4,5.7,89.7,348,259.7,1.14,35.6,4.9,56993,4837229,39.059811,-105.311104,West
Connecticut,9.3,6.2,84.3,256,376.4,0.86,35.6,5.7,68595,3488084,41.597782,-72.755371,Northeast
Delaware,10,8.3,74.3,689,250.9,1.23,27.5,4.8,57989,865314,39.318523,-75.507141,Northeast
Florida,13.2,7.3,79.8,723,247.9,1.56,25.8,6.2,47778,18262096,27.766279,-81.686783,Southeast
Georgia,14.7,8.1,65.4,493,217.4,1.46,27.5,6.2,50861,9526642,33.040619,-83.643074,Southeast
Hawaii,9.1,5.6,29.7,273,317,1.33,29.1,3.9,67214,1269796,21.094318,-157.498337,West
Idaho,12.6,6.8,94.6,239,168.8,1.6,24,4.9,47576,1498390,44.240459,-114.478828,West
Illinois,12.2,7.3,79.1,533,280.2,1.16,29.9,6.5,56235,12775864,40.349457,-88.986137,Midwest
Indiana,13.1,8,88,334,216.9,1.26,22.9,5.9,47966,6344771,39.849426,-86.258278,Midwest
Iowa,11.5,5.1,94.2,295,189.3,1.42,24.3,4.1,48980,2979867,42.011539,-93.210526,Midwest
Kansas,11.3,7.1,88.7,453,222.5,1.38,29.6,4.4,50177,2773740,38.5266,-96.726486,Midwest
Kentucky,17.3,7.5,89.9,295,232.3,1.8,19.7,6.4,41538,4254513,37.66814,-84.670067,Southeast
Louisiana,17.3,9.9,64.8,730,262.7,2.17,20.3,4.6,43733,4373448,31.169546,-91.867805,Southeast
Maine,12.3,6.3,96.4,118,278.4,1.22,25.4,5.4,46581,1315749,44.693947,-69.381927,Northeast
Maryland,8.1,8,63.4,642,421.4,1.09,35.2,4.4,70545,5627211,39.063946,-76.802101,Northeast
Massachusetts,10,4.8,86.2,432,469,0.76,38.1,5.3,65401,6499672,42.230171,-71.530106,Northeast
Michigan,14.4,7.4,81.2,536,250.2,1.04,24.7,8.4,48591,10051145,43.326618,-84.536095,Midwest
Minnesota,9.6,5.2,89,289,293.2,0.88,31.5,5.4,57288,5191267,45.694454,-93.900192,Midwest
Mississippi,21.2,10.6,60.6,291,177.9,2.04,19.4,6.9,37790,2920312,32.741646,-89.678696,Southeast
Missouri,13.4,7.4,85,505,246,1.43,25,6.1,46867,5905750,38.456085,-92.288368,Midwest
Montana,14.8,5.8,90.5,288,220.6,2.45,27.1,4.5,43654,957123,46.921925,-110.454353,West
Nebraska,10.8,5.6,91.4,302,245.4,1.32,27.1,3.3,49693,1768745,41.12537,-98.268082,Midwest
Nevada,11.3,6.4,80.9,751,187.8,1.68,21.9,6.7,56361,2564816,38.313515,-117.055374,West
New Hampshire,7.6,6.1,95.5,137,274.9,0.96,33.3,3.8,63731,1316496,43.452492,-71.563896,Northeast
New Jersey,8.7,5.5,76,329,316.3,0.95,34.4,5.5,70378,8630810,40.298904,-74.521011,Northeast
New Mexico,17.1,5.8,84,664,243.6,1.54,24.7,4.2,43508,1966357,34.840515,-106.248482,Southwest
New York,13.6,5.6,73.4,414,395.9,0.97,31.9,5.4,56033,19419540,42.165726,-74.948051,Northeast
North Carolina,14.6,8.1,73.9,466,254.2,1.62,26.1,6.3,46549,9047856,35.630066,-79.806419,Southeast
North Dakota,12,5.8,91.4,142,244.4,1.42,26.9,3.2,45685,637534,47.528912,-99.784012,Midwest
Ohio,13.4,7.8,84.8,343,266.7,1.14,24.1,6.5,47988,11518989,40.388783,-82.764915,Midwest
Oklahoma,15.9,8,78.1,500,173.5,1.58,22.2,3.8,42822,3608759,35.565342,-96.928917,Southwest
Oregon,13.6,5.5,90.1,288,274.5,1.31,28.1,6.4,50169,3730833,44.572021,-122.070938,West
Pennsylvania,12.1,7.6,85.4,417,305.3,1.37,26.3,5.4,50713,12517701,40.590752,-77.209755,Northeast
Rhode Island,11.7,6.1,88.5,227,375.5,0.8,30,7.8,55701,1059706,41.680893,-71.51178,Northeast
South Carolina,15.7,8.4,68.7,788,229.8,2.09,23.7,6.9,44625,4417059,33.856892,-80.945007,Southeast
South Dakota,12.5,6.9,88.2,169,219.1,1.62,25.1,3,46032,795521,44.299782,-99.438828,Midwest
Tennessee,15.5,8.7,80.4,753,263.6,1.7,22.9,6.4,43614,6172788,35.747845,-86.692345,Southeast
Texas,15.8,6.2,82.4,511,214.2,1.38,25.3,4.9,50043,23824518,31.054487,-97.563461,Southwest
Utah,9.6,5.1,92.9,235,208.1,1.11,29.1,3.4,56633,2662908,40.150032,-111.862434,West
Vermont,10.6,5.5,96.4,124,373.7,0.86,32.1,4.8,52104,620438,44.045876,-72.710686,Northeast
Virginia,10.2,7.1,73,270,274.5,1.25,33.7,4,61233,7705466,37.769337,-78.169968,Southeast
Washington,11.3,4.7,84.3,333,270,1,30.7,5.3,58078,6464167,47.400902,-121.490494,West
West Virginia,17,7.4,94.5,275,232.1,2.1,17.1,4.3,37989,1812295,38.491226,-80.954453,Southeast
Wisconsin,10.4,6.4,89.7,291,259.1,1.27,25.7,4.7,52094,5601508,44.268543,-89.616508,Midwest
Wyoming,9.4,7,93.9,239,184.4,1.6,23.6,3.1,53207,523226,42.755966,-107.30249,West
